id;name;img;gender;born;death;country;nationality
1;Alaska;utilize;FEMALE;2023-03-06T16:19:46;2023-03-06T08:01:44;Guernsey;Ghana Tools
2;Cedi leading-edge;empower Intelligent Forint;FEMALE;2023-03-06T06:31:45;2023-03-06T10:57:37;Azerbaijan;Plastic Handcrafted Investor
3;Supervisor Ports;Sausages model Designer;MALE;2023-03-06T15:42:34;2023-03-06T15:22:35;Chile;interactive grey services
4;cyan CFA;Security Avon;FEMALE;2023-03-06T22:17:37;2023-03-06T16:07:20;Burundi;cyan Generic
5;Loan dedicated array;Road Consultant withdrawal;FEMALE;2023-03-06T20:07:58;2023-03-07T01:20:45;Reunion;Buckinghamshire Frozen Associate
6;Aruban Communications;Gorgeous;MALE;2023-03-07T05:12:37;2023-03-06T18:46:07;Congo;synthesizing fuchsia Avon
7;Small Soft Tennessee;Steel;MALE;2023-03-06T19:21:51;2023-03-06T16:51:42;Cote d'Ivoire;Games
8;web;Bahamas;FEMALE;2023-03-07T01:46:31;2023-03-06T22:19:53;Greenland;Cedi Ball Tasty
9;Bedfordshire paradigms PCI;National Pataca;FEMALE;2023-03-06T23:17:09;2023-03-06T05:46:10;Belarus;Borders Cambodia Bike
10;networks Data;Cotton SAS;MALE;2023-03-06T17:33:25;2023-03-06T11:46:21;Cocos (Keeling) Islands;programming
